meter_ts,plant_code,kwh
2024-03-01 00:00:00,STL-001,1157.7
2024-03-01 00:00:00,STL-002,1116.2
2024-03-01 00:00:00,STL-003,1236.2
2024-03-01 00:00:00,STL-004,1097.4
2024-03-01 01:00:00,STL-001,1176.2
2024-03-01 01:00:00,STL-002,1136.5
2024-03-01 01:00:00,STL-003,1064.6
2024-03-01 01:00:00,STL-004,1169.6
2024-03-01 02:00:00,STL-001,980.1
2024-03-01 02:00:00,STL-002,1065.7
2024-03-01 02:00:00,STL-003,987.1
2024-03-01 02:00:00,STL-004,991.6
2024-03-01 03:00:00,STL-001,945.5
2024-03-01 03:00:00,STL-002,1022.8
2024-03-01 03:00:00,STL-003,887.8
2024-03-01 03:00:00,STL-004,906.9
2024-03-01 04:00:00,STL-001,861.4
2024-03-01 04:00:00,STL-002,915.2
2024-03-01 04:00:00,STL-003,853.0
2024-03-01 04:00:00,STL-004,822.6
2024-03-01 05:00:00,STL-001,823.8
2024-03-01 05:00:00,STL-002,683.9
2024-03-01 05:00:00,STL-003,806.1
2024-03-01 05:00:00,STL-004,720.5
2024-03-01 06:00:00,STL-001,668.8
2024-03-01 06:00:00,STL-002,665.0
2024-03-01 06:00:00,STL-003,692.4
2024-03-01 06:00:00,STL-004,765.5
2024-03-01 07:00:00,STL-001,704.1
2024-03-01 07:00:00,STL-002,764.4
2024-03-01 07:00:00,STL-003,773.1
2024-03-01 07:00:00,STL-004,733.0
2024-03-01 08:00:00,STL-001,848.0
2024-03-01 08:00:00,STL-002,766.5
2024-03-01 08:00:00,STL-003,766.0
2024-03-01 08:00:00,STL-004,790.6
2024-03-01 09:00:00,STL-001,994.6
2024-03-01 09:00:00,STL-002,946.1
2024-03-01 09:00:00,STL-003,924.3
2024-03-01 09:00:00,STL-004,976.4
2024-03-01 10:00:00,STL-001,1069.9
2024-03-01 10:00:00,STL-002,1036.7
2024-03-01 10:00:00,STL-003,1143.6
2024-03-01 10:00:00,STL-004,1123.0
2024-03-01 11:00:00,STL-001,1108.1
2024-03-01 11:00:00,STL-002,1185.2
2024-03-01 11:00:00,STL-003,1173.7
2024-03-01 11:00:00,STL-004,1255.5
2024-03-01 12:00:00,STL-001,1255.1
2024-03-01 12:00:00,STL-002,1149.1
2024-03-01 12:00:00,STL-003,1315.2
2024-03-01 12:00:00,STL-004,1108.3
2024-03-01 13:00:00,STL-001,1148.7
2024-03-01 13:00:00,STL-002,1227.9
2024-03-01 13:00:00,STL-003,1086.6
2024-03-01 13:00:00,STL-004,1165.3
2024-03-01 14:00:00,STL-001,980.5
2024-03-01 14:00:00,STL-002,1116.3
2024-03-01 14:00:00,STL-003,1137.1
2024-03-01 14:00:00,STL-004,1095.8
2024-03-01 15:00:00,STL-001,1032.1
2024-03-01 15:00:00,STL-002,924.2
2024-03-01 15:00:00,STL-003,997.5
2024-03-01 15:00:00,STL-004,978.1
2024-03-01 16:00:00,STL-001,853.4
2024-03-01 16:00:00,STL-002,832.6
2024-03-01 16:00:00,STL-003,897.1
2024-03-01 16:00:00,STL-004,914.7
2024-03-01 17:00:00,STL-001,748.3
2024-03-01 17:00:00,STL-002,776.8
2024-03-01 17:00:00,STL-003,686.1
2024-03-01 17:00:00,STL-004,782.5
2024-03-01 18:00:00,STL-001,741.2
2024-03-01 18:00:00,STL-002,791.0
2024-03-01 18:00:00,STL-003,766.4
2024-03-01 18:00:00,STL-004,689.0
2024-03-01 19:00:00,STL-001,735.0
2024-03-01 19:00:00,STL-002,777.5
2024-03-01 19:00:00,STL-003,680.3
2024-03-01 19:00:00,STL-004,746.4
2024-03-01 20:00:00,STL-001,784.2
2024-03-01 20:00:00,STL-002,775.7
2024-03-01 20:00:00,STL-003,765.9
2024-03-01 20:00:00,STL-004,885.1
2024-03-01 21:00:00,STL-001,888.8
2024-03-01 21:00:00,STL-002,911.5
2024-03-01 21:00:00,STL-003,939.1
2024-03-01 21:00:00,STL-004,1031.3
2024-03-01 22:00:00,STL-001,989.4
2024-03-01 22:00:00,STL-002,1069.0
2024-03-01 22:00:00,STL-003,1090.7
2024-03-01 22:00:00,STL-004,1162.8
2024-03-01 23:00:00,STL-001,1242.4
2024-03-01 23:00:00,STL-002,1252.9
2024-03-01 23:00:00,STL-003,1116.1
2024-03-01 23:00:00,STL-004,1148.1
2024-03-02 00:00:00,STL-001,1166.1
2024-03-02 00:00:00,STL-002,1292.2
2024-03-02 00:00:00,STL-003,1309.9
2024-03-02 00:00:00,STL-004,1116.2
2024-03-02 01:00:00,STL-001,1092.2
2024-03-02 01:00:00,STL-002,1105.2
2024-03-02 01:00:00,STL-003,1105.6
2024-03-02 01:00:00,STL-004,1164.3
2024-03-02 02:00:00,STL-001,1099.3
2024-03-02 02:00:00,STL-002,1028.8
2024-03-02 02:00:00,STL-003,972.9
2024-03-02 02:00:00,STL-004,1062.5
2024-03-02 03:00:00,STL-001,934.9
2024-03-02 03:00:00,STL-002,972.7
2024-03-02 03:00:00,STL-003,1047.0
